Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Tom Chambers,PF,220,Phoenix Suns,United States,1991,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1991,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1991,West,Coaches,7,0,84,1986.0,2.0,9.0
Tim Hardaway,PG,175,Golden State Warriors,United States,1991,West,Coaches,6,0,72,1989.0,1.0,14.0
Kevin Johnson,PG,180,Phoenix Suns,United States,1991,West,Fans,6,1,73,1987.0,1.0,7.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1991,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1991,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1991,West,Fans,6,7,79,1985.0,1.0,7.0
Terry Porter,PG,195,Portland Trail Blazers,United States,1991,West,Coaches,6,3,75,1985.0,1.0,24.0
David Robinson,C,250,San Antonio Spurs,United States,1991,West,Fans,7,1,85,1987.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1991,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1991,West,Coaches,6,9,81,1982.0,1.0,1.0
Gilbert Arenas,G,191,Washington Wizards,United States,2007,East,Fans,6,3,75,2001.0,2.0,2.0
Chauncey Billups,G,210,Detroit Pistons,United States,2007,East,Coaches,6,3,75,1997.0,1.0,3.0
Chris Bosh,PF,235,Toronto Raptors,United States,2007,East,Fans,6,11,83,2003.0,1.0,4.0
Caron Butler,SF,228,Washington Wizards,United States,2007,East,Coaches,6,7,79,2002.0,1.0,10.0
Vince Carter,SF,220,New Jersey Nets,United States,2007,East,Coaches,6,6,78,1998.0,1.0,5.0
Richard Hamilton,SG,193,Detroit Pistons,United States,2007,East,Coaches,6,7,79,1999.0,1.0,7.0
Dwight Howard,C,265,Orlando Magic,United States,2007,East,Coaches,6,11,83,2004.0,1.0,1.0
LeBron James,F,250,Cleveland Cavaliers,United States,2007,East,Fans,6,9,81,2003.0,1.0,1.0
Joe Johnson,SG,240,Atlanta Hawks,United States,2007,Eastern,Replacement,6,7,79,2001.0,1.0,10.0
Jason Kidd,PG,210,New Jersey Nets,United States,2007,East,Coaches,6,4,76,1994.0,1.0,2.0
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2007,East,Coaches,6,11,83,1996.0,1.0,17.0
Shaquille O'Neal,C,325,Miami Heat,United States,2007,East,Fans,7,1,85,1992.0,1.0,1.0
Dwyane Wade,SG,220,Miami Heat,United States,2007,East,Fans,6,4,76,2003.0,1.0,5.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1982,West,Fans,7,2,86,1969.0,1.0,1.0
Adrian Dantley,SF,208,Utah Jazz,United States,1982,West,Fans,6,5,77,1976.0,1.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1982,West,Coaches,6,7,79,1976.0,2.0,6.0
George Gervin,GF,180,San Antonio Spurs,United States,1982,West,Fans,6,7,79,1974.0,3.0,4.0
Dennis Johnson,PG,185,Phoenix Suns,United States,1982,West,Coaches,6,4,76,1976.0,2.0,12.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1982,West,Coaches,6,9,81,1979.0,1.0,1.0
Bernard King,SF,205,Golden State Warriors,United States,1982,West,Coaches,6,7,79,1977.0,1.0,7.0
Moses Malone,C,215,Houston Rockets,United States,1982,West,Coaches,6,10,82,,,
Norm Nixon,G,170,Los Angeles Lakers,United States,1982,West,Coaches,6,2,74,1977.0,1.0,22.0
Lonnie Shelton,FC,240,Seattle SuperSonics,United States,1982,West,Fans,6,8,80,1976.0,2.0,8.0
Jack Sikma,C,230,Seattle SuperSonics,United States,1982,West,Coaches,6,11,83,1977.0,1.0,8.0
Gus Williams,G,175,Seattle SuperSonics,United States,1982,West,Fans,6,2,74,1975.0,2.0,2.0
Larry Bird,SF,220,Boston Celtics,United States,1984,East,Fans,6,9,81,1978.0,1.0,6.0
Otis Birdsong,GF,190,New Jersey Nets,United States,1984,East,Coaches,6,3,75,1977.0,1.0,2.0
Julius Erving,SF,200,Philadelphia Sixers,United States,1984,East,Fans,6,6,78,1972.0,1.0,12.0
Bernard King,SF,205,New York Knicks,United States,1984,East,Coaches,6,7,79,1977.0,1.0,7.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1984,Eastern,Replacement,6,11,83,1979.0,3.0,21.0
Moses Malone,C,215,Philadelphia Sixers,United States,1984,East,Fans,6,10,82,,,
Kevin McHale,PF,210,Boston Celtics,United States,1984,East,Coaches,6,10,82,1980.0,1.0,3.0
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1984,East,Fans,6,3,75,1979.0,1.0,5.0
Robert Parish,C,230,Boston Celtics,United States,1984,East,Coaches,7,0,84,1976.0,1.0,8.0
Jeff Ruland,C,240,Washington Bullets,United States,1984,East,Coaches,6,10,82,1980.0,2.0,2.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1984,East,Fans,6,1,73,1981.0,1.0,2.0
Andrew Toney,G,178,Philadelphia Sixers,United States,1984,East,Coaches,6,3,75,1980.0,1.0,8.0
Kelly Tripucka,SF,220,Detroit Pistons,United States,1984,East,Coaches,6,6,78,1981.0,1.0,12.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2001,West,Fans,6,6,78,1996.0,1.0,13.0
Vlade Divac,C,260,Sacramento Kings,Serbia,2001,Western,Replacement,7,1,85,1989.0,1.0,26.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2001,West,Fans,6,11,83,1997.0,1.0,1.0
Michael Finley,G-F,225,Dallas Mavericks,United States,2001,West,Coaches,6,7,79,1995.0,1.0,21.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2001,West,Coaches,6,11,83,1995.0,1.0,5.0
Jason Kidd,PG,210,Phoenix Suns,United States,2001,West,Fans,6,4,76,1994.0,1.0,2.0
Karl Malone,PF,265,Utah Jazz,United States,2001,West,Coaches,6,9,81,1985.0,1.0,13.0
Antonio McDyess,F,245,Denver Nuggets,United States,2001,West,Coaches,6,9,81,1995.0,1.0,2.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2001,West,Fans,7,1,85,1992.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,2001,West,Coaches,6,4,76,1990.0,1.0,2.0
David Robinson,C,250,San Antonio Spurs,United States,2001,West,Coaches,7,1,85,1987.0,1.0,1.0
Rasheed Wallace,FC,230,Portland Trail Blazers,United States,2001,West,Coaches,6,11,83,1995.0,1.0,4.0
Chris Webber,F-C,245,Sacramento Kings,United States,2001,West,Fans,6,9,81,1993.0,1.0,1.0
Charles Barkley,PF,252,Houston Rockets,United States,1997,West,Fans,6,6,78,1984.0,1.0,5.0
Clyde Drexler,SG,210,Houston Rockets,United States,1997,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,1997,Western,Replacement,6,11,83,1995.0,1.0,5.0
Chris Gatling,PF,220,Dallas Mavericks,United States,1997,Western,Replacement,6,10,82,1991.0,1.0,16.0
Tom Gugliotta,PF,240,Minnesota Timberwolves,United States,1997,West,Coaches,6,10,82,1992.0,1.0,6.0
Eddie Jones,G-F,200,Los Angeles Lakers,United States,1997,West,Coaches,6,6,78,1994.0,1.0,10.0
Shawn Kemp,C,280,Seattle SuperSonics,United States,1997,West,Fans,6,10,82,1989.0,1.0,17.0
Karl Malone,PF,265,Utah Jazz,United States,1997,West,Coaches,6,9,81,1985.0,1.0,13.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,1997,West,Coaches,7,1,85,1992.0,1.0,1.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1997,West,Fans,7,0,84,1984.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,1997,West,Fans,6,4,76,1990.0,1.0,2.0
Mitch Richmond,SG,215,Sacramento Kings,United States,1997,West,Coaches,6,5,77,1988.0,1.0,5.0
Detlef Schrempf,SF,214,Seattle SuperSonics,Germany United States,1997,Western,Replacement,6,9,81,1985.0,1.0,8.0
Latrell Sprewell,SG,190,Golden State Warriors,United States,1997,West,Coaches,6,5,77,1992.0,1.0,24.0
John Stockton,PG,170,Utah Jazz,United States,1997,West,Fans,6,1,73,1984.0,1.0,16.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1988,West,Coaches,7,2,86,1969.0,1.0,1.0
Mark Aguirre,SF,232,Dallas Mavericks,United States,1988,West,Coaches,6,6,78,1981.0,1.0,1.0
James Donaldson,C,275,Dallas Mavericks,England,1988,West,Coaches,7,2,86,1979.0,4.0,7.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1988,West,Coaches,6,7,79,1983.0,1.0,14.0
Alex English,SF,190,Denver Nuggets,United States,1988,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1988,West,Fans,6,9,81,1979.0,1.0,1.0
Fat Lever,PG,170,Denver Nuggets,United States,1988,West,Fans,6,3,75,1982.0,1.0,11.0
Karl Malone,PF,265,Utah Jazz,United States,1988,West,Fans,6,9,81,1985.0,1.0,13.0
Xavier McDaniel,PF,205,Seattle SuperSonics,United States,1988,West,Coaches,6,7,79,1985.0,1.0,4.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1988,West,Fans,7,0,84,1984.0,1.0,1.0
Alvin Robertson,SG,185,San Antonio Spurs,United States,1988,West,Coaches,6,3,75,1984.0,1.0,7.0
James Worthy,SF,225,Los Angeles Lakers,United States,1988,West,Coaches,6,9,81,1982.0,1.0,1.0
Charles Barkley,PF,252,Phoenix Suns,United States,1994,West,Fans,6,6,78,1984.0,1.0,5.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1994,West,Fans,6,7,79,1983.0,1.0,14.0
Kevin Johnson,PG,180,Phoenix Suns,United States,1994,West,Coaches,6,1,73,1987.0,1.0,7.0
Shawn Kemp,C,280,Seattle SuperSonics,United States,1994,West,Fans,6,10,82,1989.0,1.0,17.0
Karl Malone,PF,265,Utah Jazz,United States,1994,West,Coaches,6,9,81,1985.0,1.0,13.0
Danny Manning,F,230,Los Angeles Clippers,United States,1994,West,Coaches,6,10,82,1988.0,1.0,1.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1994,West,Fans,7,0,84,1984.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,1994,Western,Replacement,6,4,76,1990.0,1.0,2.0
Mitch Richmond,SG,215,Sacramento Kings,United States,1994,West,Fans,6,5,77,1988.0,1.0,5.0
Cliff Robinson,PF,225,Portland Trail Blazers,United States,1994,West,Coaches,6,10,82,1989.0,2.0,9.0
David Robinson,C,250,San Antonio Spurs,United States,1994,West,Coaches,7,1,85,1987.0,1.0,1.0
Latrell Sprewell,SG,190,Golden State Warriors,United States,1994,West,Coaches,6,5,77,1992.0,1.0,24.0
John Stockton,PG,170,Utah Jazz,United States,1994,West,Coaches,6,1,73,1984.0,1.0,16.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1987,West,Coaches,7,2,86,1969.0,1.0,1.0
Mark Aguirre,SF,232,Dallas Mavericks,United States,1987,West,Coaches,6,6,78,1981.0,1.0,1.0
Rolando Blackman,G,190,Dallas Mavericks,Panama United States,1987,West,Coaches,6,6,78,1981.0,1.0,9.0
Joe Barry Carroll,FC,225,Golden State Warriors,United States,1987,West,Coaches,7,0,84,1980.0,1.0,1.0
Tom Chambers,PF,220,Seattle SuperSonics,United States,1987,Western,Replacement,6,10,82,1981.0,1.0,8.0
Walter Davis,GF,193,Phoenix Suns,United States,1987,West,Coaches,6,6,78,1977.0,1.0,5.0
Alex English,SF,190,Denver Nuggets,United States,1987,West,Coaches,6,7,79,1976.0,2.0,6.0
Sleepy Floyd,PG,170,Golden State Warriors,United States,1987,West,Coaches,6,3,75,1982.0,1.0,13.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1987,West,Fans,6,9,81,1979.0,1.0,1.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1987,West,Fans,7,0,84,1984.0,1.0,1.0
Alvin Robertson,SG,185,San Antonio Spurs,United States,1987,West,Fans,6,3,75,1984.0,1.0,7.0
Ralph Sampson,C,228,Houston Rockets,United States,1987,West,Fans,7,4,88,1983.0,1.0,1.0
James Worthy,SF,225,Los Angeles Lakers,United States,1987,West,Fans,6,9,81,1982.0,1.0,1.0
Shareef Abdur-Rahim,F,225,Atlanta Hawks,United States,2002,East,Coaches,6,9,81,1996.0,1.0,3.0
Ray Allen,SG,205,Milwaukee Bucks,United States,2002,East,Coaches,6,5,77,1996.0,1.0,5.0
Vince Carter,SF,220,Toronto Raptors,United States,2002,East,Fans,6,6,78,1998.0,1.0,5.0
Baron Davis,G,215,Charlotte Hornets,United States,2002,Eastern,Replacement,6,3,75,1999.0,1.0,3.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2002,East,Fans,6,0,72,1996.0,1.0,1.0
Michael Jordan,SG,215,Washington Wizards,United States,2002,East,Fans,6,6,78,1984.0,1.0,3.0
Jason Kidd,PG,210,New Jersey Nets,United States,2002,East,Coaches,6,4,76,1994.0,1.0,2.0
Tracy McGrady,GF,210,Orlando Magic,United States,2002,East,Coaches,6,8,80,1997.0,1.0,9.0
Alonzo Mourning,C,240,Miami Heat,United States,2002,East,Coaches,6,10,82,1992.0,1.0,2.0
Dikembe Mutombo,C,260,Philadelphia Sixers,Democratic Republic of the Congo,2002,East,Fans,7,2,86,1991.0,1.0,4.0
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2002,East,Coaches,6,11,83,1996.0,1.0,17.0
Paul Pierce,SF,235,Boston Celtics,United States,2002,East,Coaches,6,7,79,1998.0,1.0,10.0
Antoine Walker,F,265,Boston Celtics,United States,2002,East,Fans,6,9,81,1996.0,1.0,6.0
Ray Allen,SG,205,Seattle SuperSonics,United States,2004,West,Coaches,6,5,77,1996.0,1.0,5.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2004,West,Fans,6,6,78,1996.0,1.0,13.0
Sam Cassell,G,185,Minnesota Timberwolves,United States,2004,West,Coaches,6,3,75,1993.0,1.0,24.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2004,West,Fans,6,11,83,1997.0,1.0,1.0
Steve Francis,G,195,Houston Rockets,United States,2004,West,Fans,6,3,75,1999.0,1.0,2.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2004,West,Fans,6,11,83,1995.0,1.0,5.0
Andrei Kirilenko,PF,235,Utah Jazz,Russia,2004,West,Coaches,6,9,81,1999.0,1.0,24.0
Brad Miller,C,261,Sacramento Kings,United States,2004,West,Coaches,7,0,84,,,
Yao Ming,C,310,Houston Rockets,China,2004,West,Fans,7,6,90,2002.0,1.0,1.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2004,West,Coaches,7,0,84,1998.0,1.0,9.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2004,West,Coaches,7,1,85,1992.0,1.0,1.0
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2004,West,Coaches,6,10,82,1996.0,1.0,14.0
Tiny Archibald,PG,150,Boston Celtics,United States,1981,East,Coaches,6,1,73,1970.0,2.0,2.0
Larry Bird,SF,220,Boston Celtics,United States,1981,East,Coaches,6,9,81,1978.0,1.0,6.0
Julius Erving,SF,200,Philadelphia Sixers,United States,1981,East,Fans,6,6,78,1972.0,1.0,12.0
Artis Gilmore,C,240,Chicago Bulls,United States,1981,East,Fans,7,2,86,1971.0,7.0,15.0
"Eddie Johnson, Jr.",G,180,Atlanta Hawks,United States,1981,East,Fans,6,2,74,1977.0,3.0,5.0
Marques Johnson,GF,218,Milwaukee Bucks,United States,1981,East,Coaches,6,7,79,1977.0,1.0,3.0
Bobby Jones,SF,210,Philadelphia Sixers,United States,1981,East,Coaches,6,9,81,1974.0,1.0,5.0
Mike Mitchell,F,215,Cleveland Cavaliers,United States,1981,East,Coaches,6,7,79,1978.0,1.0,15.0
Robert Parish,C,230,Boston Celtics,United States,1981,East,Coaches,7,0,84,1976.0,1.0,8.0
Micheal Ray Richardson,PG,189,New York Knicks,United States,1981,East,Coaches,6,5,77,1978.0,1.0,4.0
Dan Roundfield,PF,205,Atlanta Hawks,United States,1981,East,Fans,6,8,80,1975.0,2.0,10.0
Reggie Theus,GF,190,Chicago Bulls,United States,1981,East,Fans,6,7,79,1978.0,1.0,9.0
Michael Adams,PG,163,Washington Bullets,United States,1992,Eastern,Replacement,5,10,70,1985.0,3.0,19.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1992,East,Fans,6,6,78,1984.0,1.0,5.0
Larry Bird,SF,220,Boston Celtics,United States,1992,East,Fans,6,9,81,1978.0,1.0,6.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1992,East,Coaches,7,0,84,1986.0,1.0,1.0
Joe Dumars,SG,190,Detroit Pistons,United States,1992,East,Coaches,6,3,75,1985.0,1.0,18.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1992,East,Fans,7,0,84,1985.0,1.0,1.0
Michael Jordan,SG,215,Chicago Bulls,United States,1992,East,Fans,6,6,78,1984.0,1.0,3.0
Reggie Lewis,SF,195,Boston Celtics,United States,1992,East,Coaches,6,7,79,1987.0,1.0,22.0
Scottie Pippen,SF,228,Chicago Bulls,United States,1992,East,Coaches,6,8,80,1987.0,1.0,5.0
Mark Price,PG,170,Cleveland Cavaliers,United States,1992,East,Coaches,6,0,72,1986.0,2.0,1.0
Dennis Rodman,PF,210,Detroit Pistons,United States,1992,East,Coaches,6,7,79,1986.0,2.0,3.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1992,East,Fans,6,1,73,1981.0,1.0,2.0
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1992,East,Coaches,6,7,79,1982.0,1.0,3.0
Kevin Willis,C,245,Atlanta Hawks,United States,1992,Eastern,Replacement,7,0,84,1984.0,1.0,11.0
Penny Hardaway,PG,195,Orlando Magic,United States,1998,East,Fans,6,7,79,1993.0,1.0,3.0
Tim Hardaway,PG,175,Miami Heat,United States,1998,East,Coaches,6,0,72,1989.0,1.0,14.0
Grant Hill,SF,225,Detroit Pistons,United States,1998,East,Fans,6,8,80,1994.0,1.0,3.0
Michael Jordan,SG,215,Chicago Bulls,United States,1998,East,Fans,6,6,78,1984.0,1.0,3.0
Shawn Kemp,C,280,Cleveland Cavaliers,United States,1998,East,Fans,6,10,82,1989.0,1.0,17.0
Reggie Miller,SG,185,Indiana Pacers,United States,1998,East,Coaches,6,7,79,1987.0,1.0,11.0
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,1998,East,Fans,7,2,86,1991.0,1.0,4.0
Glen Rice,SF,228,Charlotte Hornets,United States,1998,East,Coaches,6,8,80,1989.0,1.0,4.0
Steve Smith,SG,200,Atlanta Hawks,United States,1998,East,Coaches,6,7,79,1991.0,1.0,5.0
Rik Smits,C,250,Indiana Pacers,Netherlands,1998,East,Coaches,7,4,88,1988.0,1.0,2.0
Antoine Walker,F,265,Boston Celtics,United States,1998,East,Coaches,6,9,81,1996.0,1.0,6.0
Jayson Williams,FC,245,New Jersey Nets,United States,1998,East,Coaches,6,10,82,1990.0,1.0,21.0
Carmelo Anthony,F,240,Denver Nuggets,United States,2008,West,Fans,6,8,80,2003.0,1.0,3.0
Carlos Boozer,PF,266,Utah Jazz,Germany United States,2008,West,Coaches,6,9,81,2002.0,2.0,6.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2008,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2008,West,Fans,6,11,83,1997.0,1.0,1.0
Allen Iverson,G,165,Denver Nuggets,United States,2008,West,Fans,6,0,72,1996.0,1.0,1.0
Yao Ming,C,310,Houston Rockets,China,2008,West,Fans,7,6,90,2002.0,1.0,1.0
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2008,West,Coaches,6,3,75,1996.0,1.0,15.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2008,West,Coaches,7,0,84,1998.0,1.0,9.0
Chris Paul,PG,175,New Orleans Hornets,United States,2008,West,Coaches,6,0,72,2005.0,1.0,4.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2008,West,Coaches,6,6,78,2006.0,1.0,6.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2008,West,Coaches,6,10,82,2002.0,1.0,9.0
David West,PF,250,New Orleans Hornets,United States,2008,West,Coaches,6,9,81,2003.0,1.0,18.0
Vin Baker,PF,240,Seattle SuperSonics,United States,1998,West,Coaches,6,11,83,1993.0,1.0,8.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,1998,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,1998,West,Coaches,6,11,83,1997.0,1.0,1.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,1998,West,Fans,6,11,83,1995.0,1.0,5.0
Eddie Jones,G-F,200,Los Angeles Lakers,United States,1998,West,Coaches,6,6,78,1994.0,1.0,10.0
Jason Kidd,PG,210,Phoenix Suns,United States,1998,West,Coaches,6,4,76,1994.0,1.0,2.0
Karl Malone,PF,265,Utah Jazz,United States,1998,West,Fans,6,9,81,1985.0,1.0,13.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,1998,West,Fans,7,1,85,1992.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,1998,West,Fans,6,4,76,1990.0,1.0,2.0
Mitch Richmond,SG,215,Sacramento Kings,United States,1998,West,Coaches,6,5,77,1988.0,1.0,5.0
David Robinson,C,250,San Antonio Spurs,United States,1998,West,Coaches,7,1,85,1987.0,1.0,1.0
Nick Van Exel,PG,170,Los Angeles Lakers,United States,1998,West,Coaches,6,1,73,1993.0,2.0,10.0
Ray Allen,SG,205,Boston Celtics,United States,2008,Eastern,Replacement,6,5,77,1996.0,1.0,5.0
Chauncey Billups,G,210,Detroit Pistons,United States,2008,East,Coaches,6,3,75,1997.0,1.0,3.0
Chris Bosh,PF,235,Toronto Raptors,United States,2008,East,Coaches,6,11,83,2003.0,1.0,4.0
Caron Butler,SF,228,Washington Wizards,United States,2008,East,Coaches,6,7,79,2002.0,1.0,10.0
Kevin Garnett,PF,240,Boston Celtics,United States,2008,East,Fans,6,11,83,1995.0,1.0,5.0
Richard Hamilton,SG,193,Detroit Pistons,United States,2008,East,Coaches,6,7,79,1999.0,1.0,7.0
Dwight Howard,C,265,Orlando Magic,United States,2008,East,Fans,6,11,83,2004.0,1.0,1.0
LeBron James,F,250,Cleveland Cavaliers,United States,2008,East,Fans,6,9,81,2003.0,1.0,1.0
Antawn Jamison,F,235,Washington Wizards,United States,2008,East,Coaches,6,9,81,1998.0,1.0,4.0
Joe Johnson,SG,240,Atlanta Hawks,United States,2008,East,Coaches,6,7,79,2001.0,1.0,10.0
Jason Kidd,PG,210,New Jersey Nets,United States,2008,East,Fans,6,4,76,1994.0,1.0,2.0
Paul Pierce,SF,235,Boston Celtics,United States,2008,East,Coaches,6,7,79,1998.0,1.0,10.0
Dwyane Wade,SG,220,Miami Heat,United States,2008,East,Fans,6,4,76,2003.0,1.0,5.0
Rasheed Wallace,FC,230,Detroit Pistons,United States,2008,Eastern,Replacement,6,11,83,1995.0,1.0,4.0
Elton Brand,PF,254,Los Angeles Clippers,United States,2002,Western,Replacement,6,9,81,1999.0,1.0,1.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2002,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2002,West,Fans,6,11,83,1997.0,1.0,1.0
Steve Francis,G,195,Houston Rockets,United States,2002,West,Fans,6,3,75,1999.0,1.0,2.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2002,West,Fans,6,11,83,1995.0,1.0,5.0
Karl Malone,PF,265,Utah Jazz,United States,2002,West,Coaches,6,9,81,1985.0,1.0,13.0
Steve Nash,G,178,Dallas Mavericks,Canada South Africa,2002,West,Coaches,6,3,75,1996.0,1.0,15.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2002,West,Coaches,7,0,84,1998.0,1.0,9.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2002,West,Fans,7,1,85,1992.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,2002,West,Coaches,6,4,76,1990.0,1.0,2.0
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2002,West,Coaches,6,10,82,1996.0,1.0,14.0
Wally Szczerbiak,F,240,Minnesota Timberwolves,United States Spain,2002,West,Coaches,6,7,79,1999.0,1.0,6.0
Chris Webber,F-C,245,Sacramento Kings,United States,2002,West,Coaches,6,9,81,1993.0,1.0,1.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1987,East,Coaches,6,6,78,1984.0,1.0,5.0
Larry Bird,SF,220,Boston Celtics,United States,1987,East,Fans,6,9,81,1978.0,1.0,6.0
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1987,East,Coaches,6,1,73,1978.0,2.0,14.0
Julius Erving,SF,200,Philadelphia Sixers,United States,1987,East,Fans,6,6,78,1972.0,1.0,12.0
Michael Jordan,SG,215,Chicago Bulls,United States,1987,East,Fans,6,6,78,1984.0,1.0,3.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1987,East,Coaches,6,11,83,1979.0,3.0,21.0
Jeff Malone,SG,205,Washington Bullets,United States,1987,East,Coaches,6,4,76,1983.0,1.0,10.0
Moses Malone,C,215,Washington Bullets,United States,1987,East,Fans,6,10,82,,,
Kevin McHale,PF,210,Boston Celtics,United States,1987,East,Coaches,6,10,82,1980.0,1.0,3.0
Robert Parish,C,230,Boston Celtics,United States,1987,East,Coaches,7,0,84,1976.0,1.0,8.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1987,East,Coaches,6,1,73,1981.0,1.0,2.0
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1987,East,Fans,6,7,79,1982.0,1.0,3.0
Kenny Anderson,PG,168,New Jersey Nets,United States,1994,East,Fans,6,0,72,1991.0,1.0,2.0
B.J. Armstrong,G,175,Chicago Bulls,United States,1994,East,Fans,6,2,74,1989.0,1.0,18.0
Mookie Blaylock,PG,190,Atlanta Hawks,United States,1994,East,Coaches,6,1,73,1989.0,1.0,12.0
Derrick Coleman,FC,230,New Jersey Nets,United States,1994,East,Fans,6,10,82,1990.0,1.0,1.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1994,East,Coaches,7,0,84,1985.0,1.0,1.0
Horace Grant,PF,255,Chicago Bulls,United States,1994,Eastern,Replacement,6,10,82,1987.0,1.0,10.0
Alonzo Mourning,C,240,Charlotte Hornets,United States,1994,East,Coaches,6,10,82,1992.0,1.0,2.0
Shaquille O'Neal,C,325,Orlando Magic,United States,1994,East,Fans,7,1,85,1992.0,1.0,1.0
Charles Oakley,PF,225,New York Knicks,United States,1994,East,Coaches,6,8,80,1985.0,1.0,9.0
Scottie Pippen,SF,228,Chicago Bulls,United States,1994,East,Fans,6,8,80,1987.0,1.0,5.0
Mark Price,PG,170,Cleveland Cavaliers,United States,1994,East,Coaches,6,0,72,1986.0,2.0,1.0
John Starks,SG,180,New York Knicks,United States,1994,East,Coaches,6,3,75,,,
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1994,East,Coaches,6,7,79,1982.0,1.0,3.0
